"Data Source","Description","Access Link","License"
"OpenStreetMap (OSM)","Collaborative project providing free, editable maps worldwide, including detailed data for China.","https://www.openstreetmap.org","Open Database License (ODbL)"
"Geofabrik China Extracts","Provides regional extracts of OSM data for China in various formats like PBF and Shapefiles.","https://download.geofabrik.de/asia/china.html","Open Database License (ODbL)"
"Overpass Turbo (Overpass API)","A web-based tool for querying and extracting specific data from OSM using custom queries.","https://overpass-turbo.eu/","Open Database License (ODbL)"
"Gaode (Amap) Maps Open Platform","Offers detailed maps, real-time traffic, POIs, and public transport data for China via APIs. Documentation primarily in Chinese.","https://lbs.amap.com/","Requires API key; subject to terms and conditions"
"Baidu Maps Open Platform","Provides extensive mapping data, including roads, buildings, and transit routes in China through APIs. Documentation in Chinese.","http://lbsyun.baidu.com/","Requires API key; subject to terms and conditions"
"National Geomatics Center of China (NGCC)","Offers authoritative geospatial data and mapping products within China, including administrative boundaries and topographic maps.","http://www.ngcc.cn/ngcc/","Usage may be restricted; check terms on the website"
"China Geological Survey","Provides geological data such as elevation models, land use, and other geospatial information relevant to China.","http://en.cgs.gov.cn/","Usage may be restricted; check terms on the website"
"Open Data China","Aggregates various open datasets within China, including urban infrastructure and environmental data.","http://opendatachina.com/","Varies by dataset; check individual licenses"
"Microsoft Building Footprints","High-resolution building footprints generated using deep learning algorithms, useful for urban planning and mapping projects.","US: https://github.com/Microsoft/USBuildingFootprints; Canada: https://github.com/microsoft/CanadianBuildingFootprints; Africa: https://github.com/microsoft/AfricaBuildingFootprints; South Korea & Australia: https://github.com/microsoft/BuildingFootprints","Open Data Commons Open Database License (ODbL)"
"Bing Maps API","Provides access to road, traffic, and transportation data via APIs.","https://www.microsoft.com/maps","Requires API key; subject to terms and conditions"
"Microsoft's Contribution to OSM","Microsoft contributes AI-generated map features to improve OSM data quality.","https://www.openstreetmap.org","Open Database License (ODbL)"
"Google Open Buildings Dataset","Locations and footprints of buildings derived from satellite imagery using machine learning models, covering Africa and Asia-Pacific regions.","https://sites.research.google/open-buildings/","Creative Commons Attribution 4.0 International License (CC BY 4.0)"
"Google Maps Platform and APIs","Access to comprehensive road, building, and transportation data through various APIs, including Maps, Routes, and Places APIs.","https://developers.google.com/maps/documentation","Requires API key; billed based on usage"
"Google Research Datasets","Various datasets published by Google AI and Research that may include geospatial data relevant to buildings and transportation.","https://datasetsearch.research.google.com/","Varies by dataset; check individual licenses"